Jon,Black,hand,Blue,staff
Jana,White,finger,Noble,crest
Dragomir,Gold,fist,Lightning,catcher
Wes,Silver,tongue,Cat,fetcher
Arron,Bronze,beard,Tide,fighter
Lena,Copper,hair,Ferret,skipper
Flyn,Steel,jaw,Skull,pecker
Granit,Iron,glove,Snow,clasp
Yanis,Rock,haven,Loose,button
Eva,Amber,dawn,Craven,cottage
Idris,Red,moon,Riddle(s),worth
Gwen,Rose,mount,Giant,reckon(ing)
Devon,Green,gaze,Sage,wine
Esemir,Grey,cloak,Gorgon,spell
Axel,Shadow,run,Timber,trader
Mira,Dark,sun,Lumber,worker
Darian,Dusk,tripper,Cradle,lit
Flo,Dawn,dancer,Heron,loft
Issi,Bright,soul,Tinder,spark
Dafne,Light,flower,Wet,peg
Hazel,Sun,blossom,Flint,flurry
Roisin,Moon,bringer,Needle,dart
Ruben,Star,dust,Swallow,drifter
Seth,Storm,quiver,Dire,whisper(er)
Caelin,Cloud,seeker,Pewter,ring
Orla,Dream,giver,Brass,brace
Pria,Fire,strike,Hill,shepherd
Rowan,Wood,cutter,Plain,sceptre
Olaf,Oak,heart,Rye,grain
Trent,Strong,blood,Wheat,sheaf
Marek,Hard,helm,Soft,pride
Roik,Stout,anvil,Proud,antler
Bertran,Arrow,smith,Rib,tickler
Tormen,Shield,bearer,Free,mason
Zak,Sparrow,flash,Dour,bound
Ganut,TRUE,stone,Opal,chain
Stron,Swift,shield,Brandy,barn
Pelin,Deft,spear,Dandy,buck
Oswin,Nimble,foot,Spirit,horn
Ferlik,Quick,notch,Hoot,cryer
Jasmin,Fleet,ford,Safe,harbour
Drezz,Hawk,wind,Shallow,port
Coromet,Lion,mane,Knave,trap(per)
Grunwila,Bear,rider,Spider,jack
Rafina,Tiger,rake,Rage,lust
Draxon,Griffon,bane,Noon,riser
Alkon,Dragon,slayer,Boon,lord
Fleck,Snake,skin,Prime,cut
Jin,Cobra,killer,Eternal,glade
Dagmar,Eagle,born,Pure,crack
Joris,Stag,walker,Beryl,gift
Lavin,Deer,hunt(er),Middle,camp
Tegen,Ox,tamer,Blaze,town
Larissa,Bison,stalker,Fen,moor
Lorilee,Wolf,creek,Kings,mire
Fenwick,Jackal,mouth,Quag,nag
Caradoc,Dog,tooth,Dung,sweeper
Toady,Rat,tail,Desert,mare
Gea,Lynx,hide,Forest,steed
Aspen,Owl,flight,Filly,whip(per)
Leandra,Panther,claw,Daisy,bell(s)
Colyn,Crab,eater,Fir,snapper
Agnes,Kraken,maid,Willow,warbler
Seldon,Trout,nose,Beech,craft
Clifton,River,bank,Pine,harness
